n:1 mse_avg:9.76 mse_y:10.97 mse_u:7.93 mse_v:6.72 psnr_avg:38.24 psnr_y:37.73 psnr_u:39.14 psnr_v:39.86 
n:135 mse_avg:1041.12 mse_y:1505.23 mse_u:185.37 mse_v:40.44 psnr_avg:17.96 psnr_y:16.35 psnr_u:25.45 psnr_v:32.06 
n:136 mse_avg:1087.60 mse_y:1572.70 mse_u:191.40 mse_v:43.42 psnr_avg:17.77 psnr_y:16.16 psnr_u:25.31 psnr_v:31.75 
n:137 mse_avg:1062.89 mse_y:1537.61 mse_u:185.22 mse_v:41.69 psnr_avg:17.87 psnr_y:16.26 psnr_u:25.45 psnr_v:31.93 
n:138 mse_avg:1028.36 mse_y:1488.46 mse_u:175.91 mse_v:40.38 psnr_avg:18.01 psnr_y:16.40 psnr_u:25.68 psnr_v:32.07 
n:139 mse_avg:978.07 mse_y:1415.15 mse_u:169.38 mse_v:38.42 psnr_avg:18.23 psnr_y:16.62 psnr_u:25.84 psnr_v:32.28 
n:140 mse_avg:1034.36 mse_y:1498.63 mse_u:171.34 mse_v:40.28 psnr_avg:17.98 psnr_y:16.37 psnr_u:25.79 psnr_v:32.08 
n:141 mse_avg:1021.79 mse_y:1480.10 mse_u:170.43 mse_v:39.93 psnr_avg:18.04 psnr_y:16.43 psnr_u:25.82 psnr_v:32.12 
n:142 mse_avg:965.00 mse_y:1397.76 mse_u:160.90 mse_v:38.09 psnr_avg:18.29 psnr_y:16.68 psnr_u:26.07 psnr_v:32.32 
n:143 mse_avg:1079.83 mse_y:1566.54 mse_u:171.74 mse_v:41.06 psnr_avg:17.80 psnr_y:16.18 psnr_u:25.78 psnr_v:32.00 
n:144 mse_avg:1130.22 mse_y:1641.18 mse_u:174.68 mse_v:41.96 psnr_avg:17.60 psnr_y:15.98 psnr_u:25.71 psnr_v:31.90 
n:145 mse_avg:1093.42 mse_y:1586.53 mse_u:174.18 mse_v:40.21 psnr_avg:17.74 psnr_y:16.13 psnr_u:25.72 psnr_v:32.09 
n:146 mse_avg:1115.44 mse_y:1619.25 mse_u:175.30 mse_v:40.30 psnr_avg:17.66 psnr_y:16.04 psnr_u:25.69 psnr_v:32.08 
n:147 mse_avg:1132.69 mse_y:1643.84 mse_u:179.81 mse_v:40.98 psnr_avg:17.59 psnr_y:15.97 psnr_u:25.58 psnr_v:32.00 
n:148 mse_avg:1073.34 mse_y:1557.08 mse_u:172.51 mse_v:39.23 psnr_avg:17.82 psnr_y:16.21 psnr_u:25.76 psnr_v:32.19 
n:149 mse_avg:1047.84 mse_y:1519.08 mse_u:172.13 mse_v:38.58 psnr_avg:17.93 psnr_y:16.31 psnr_u:25.77 psnr_v:32.27 
n:150 mse_avg:1097.49 mse_y:1592.62 mse_u:175.15 mse_v:39.28 psnr_avg:17.73 psnr_y:16.11 psnr_u:25.70 psnr_v:32.19 
n:151 mse_avg:1074.29 mse_y:1554.98 mse_u:183.35 mse_v:42.48 psnr_avg:17.82 psnr_y:16.21 psnr_u:25.50 psnr_v:31.85 
n:152 mse_avg:1018.52 mse_y:1477.58 mse_u:162.11 mse_v:38.72 psnr_avg:18.05 psnr_y:16.44 psnr_u:26.03 psnr_v:32.25 
n:153 mse_avg:1056.47 mse_y:1533.11 mse_u:166.48 mse_v:39.89 psnr_avg:17.89 psnr_y:16.28 psnr_u:25.92 psnr_v:32.12 
n:154 mse_avg:1089.07 mse_y:1582.19 mse_u:165.94 mse_v:39.73 psnr_avg:17.76 psnr_y:16.14 psnr_u:25.93 psnr_v:32.14 
n:155 mse_avg:1143.59 mse_y:1660.06 mse_u:178.60 mse_v:42.72 psnr_avg:17.55 psnr_y:15.93 psnr_u:25.61 psnr_v:31.82 
n:156 mse_avg:1135.36 mse_y:1650.03 mse_u:172.65 mse_v:39.38 psnr_avg:17.58 psnr_y:15.96 psnr_u:25.76 psnr_v:32.18 
n:157 mse_avg:1178.68 mse_y:1713.78 mse_u:176.85 mse_v:40.10 psnr_avg:17.42 psnr_y:15.79 psnr_u:25.65 psnr_v:32.10 
n:158 mse_avg:1131.79 mse_y:1646.71 mse_u:165.72 mse_v:38.19 psnr_avg:17.59 psnr_y:15.96 psnr_u:25.94 psnr_v:32.31 
n:159 mse_avg:1129.91 mse_y:1644.08 mse_u:163.73 mse_v:39.41 psnr_avg:17.60 psnr_y:15.97 psnr_u:25.99 psnr_v:32.17 
n:160 mse_avg:1075.61 mse_y:1567.20 mse_u:146.77 mse_v:38.06 psnr_avg:17.81 psnr_y:16.18 psnr_u:26.46 psnr_v:32.33 
n:161 mse_avg:1032.45 mse_y:1504.09 mse_u:140.92 mse_v:37.45 psnr_avg:17.99 psnr_y:16.36 psnr_u:26.64 psnr_v:32.40 
n:162 mse_avg:1006.47 mse_y:1466.53 mse_u:135.63 mse_v:37.04 psnr_avg:18.10 psnr_y:16.47 psnr_u:26.81 psnr_v:32.44 
